Year, Referee
1999,Gerry Austin
1999,Phil Luckett
1999,Bob McElwee
1999,Tony Corrente
1999,Ron Blum
1999,Bernie Kukar
1999,Larry Nemmers
1999,Bill Carollo
1999,Ron Winter
1999,Dick Hantak
1999,Tom White
1999,Ed Hochuli
1999,Mike Carey
1999,Walt Coleman
1999,Johnny Grier
1999,Jeff Triplette
1999,Tom Corrente
1999,Mike Garth
1999,Bill Carolo
1999,Dick Hantag
2000,Walt Coleman
2000,Bernie Kukar
2000,Larry Nemmers
2000,Ed Hochuli
2000,Jeff Triplette
2000,Tony Corrente
2000,Bill Carollo
2000,Phil Luckett
2000,Bob McElwee
2000,Tom White
2000,Mike Carey
2000,Ron Winter
2000,Ron Blum
2000,Johnny Grier
2000,Gerry Austin
2000,Dick Hantak
2000,Bill Blum
2000,Walt Anderson
2001,Joseph Rider
2001,Larry Mallam
2001,John Smith
2001,Bill Etzler
2001,Paul Labenne
2001,Aster Sizemore
2001,Mack Gentry
2001,Randall Beesley
2001,Wayne McKreight
2001,Perry Havener
2001,Al Hynes
2001,Jim Sprenger
2001,Riley Johnson
2001,Ernie Briggs
2001,Bill Athan
2001,Bob McElwee
2001,Mike Carey
2001,Ed Hochuli
2001,Terry McAulay
2001,Jeff Triplette
2001,Bill Carollo
2001,Bernie Kukar
2001,Tom White
2001,Johnny Grier
2001,Larry Nemmers
2001,Dick Hantak
2001,Bill Leavy
2001,Ron Blum
2001,Walt Coleman
2001,Tony Corrente
2001,Gerry Austin
2001,Ron Winter
2001,Judson Mitchell
2002,Gerry Austin
2002,Bob McElwee
2002,Walt Coleman
2002,Mike Carey
2002,Johnny Grier
2002,Ron Blum
2002,Ron Winter
2002,Bernie Kukar
2002,Jeff Triplette
2002,Terry McAulay
2002,Tom White
2002,Bill Leavy
2002,Larry Nemmers
2002,Dick Hantak
2002,Bill Carollo
2002,Tony Corrente
2002,Gerald Austin
2002,Ed Hochuli
2002,Walt Anderson
2003,Walt Coleman
2003,Jeff Triplette
2003,Johnny Grier
2003,Gerry Austin
2003,Walt Anderson
2003,Bill Carollo
2003,Peter Morelli
2003,Ed Hochuli
2003,Terry McAulay
2003,Tom White
2003,Ron Winter
2003,Mike Carey
2003,Tony Corrente
2003,Bill Leavy
2003,Ron Blum
2003,Bernie Kukar
2003,Larry Nemmers
2003,Tom Corrente
2003,Gerald Austin
2004,Mike Carey
2004,Tom White
2004,Ron Winter
2004,Larry Nemmers
2004,Bill Vinovich
2004,Bill Leavy
2004,Ed Hochuli
2004,Jeff Triplette
2004,Walt Anderson
2004,Bill Carollo
2004,Terry McAulay
2004,Peter Morelli
2004,Johnny Grier
2004,Tony Corrente
2004,Bernie Kukar
2004,Walt Coleman
2004,Gerry Austin
2004,Scott Green
2004,Gerald Austin
2004,Billy Leavy
2005,Tony Corrente
2005,Ron Winter
2005,Tom White
2005,Scott Green
2005,Ed Hochuli
2005,Larry Nemmers
2005,Bill Leavy
2005,Mike Carey
2005,Gerry Austin
2005,Terry McAulay
2005,Jeff Triplette
2005,Bernie Kukar
2005,Peter Morelli
2005,Bill Vinovich
2005,Bill Carollo
2005,Walt Coleman
2005,Walt Anderson
2005,Gerald Austin
2006,Walt Coleman
2006,Bill Carollo
2006,Jerome Boger
2006,Jeff Triplette
2006,Peter Morelli
2006,Larry Nemmers
2006,Terry McAulay
2006,Bill Vinovich
2006,Ron Winter
2006,Gene Steratore
2006,Ed Hochuli
2006,Tony Corrente
2006,Gerry Austin
2006,Walt Anderson
2006,Mike Carey
2006,Bill Leavy
2006,Scott Green
2007,Walt Anderson
2007,Gerry Austin
2007,Scott Green
2007,Mike Carey
2007,Jerome Boger
2007,Bill Carollo
2007,John Parry
2007,Jeff Triplette
2007,Bill Leavy
2007,Gene Steratore
2007,Tony Corrente
2007,Peter Morelli
2007,Larry Nemmers
2007,Ed Hochuli
2007,Terry McAulay
2007,Walt Coleman
2007,Ron Winter
2008,Ed Hochuli
2008,Ron Winter
2008,Scott Green
2008,Walt Coleman
2008,Mike Carey
2008,Carl Cheffers
2008,Alberto Riveron
2008,Peter Morelli
2008,Terry McAulay
2008,Tony Corrente
2008,Bill Carollo
2008,Walt Anderson
2008,Gene Steratore
2008,John Parry
2008,Jeff Triplette
2008,Bill Leavy
2008,Jerome Boger
2009,Bill Leavy
2009,Walt Coleman
2009,Gene Steratore
2009,Jeff Triplette
2009,Jerome Boger
2009,John Parry
2009,Ed Hochuli
2009,Tony Corrente
2009,Mike Carey
2009,Alberto Riveron
2009,Don Carey
2009,Terry McAulay
2009,Peter Morelli
2009,Ron Winter
2009,Scott Green
2009,Carl Cheffers
2009,Walt Anderson
2010,Terry McAulay
2010,Clete Blakeman
2010,Gene Steratore
2010,Ed Hochuli
2010,Walt Coleman
2010,Carl Cheffers
2010,Jerome Boger
2010,Scott Green
2010,Jeff Triplette
2010,Bill Leavy
2010,John Parry
2010,Mike Carey
2010,Alberto Riveron
2010,Tony Corrente
2010,Walt Anderson
2010,Peter Morelli
2010,Ron Winter
2011,Clete Blakeman
2011,Tony Corrente
2011,Ed Hochuli
2011,Bill Leavy
2011,Walt Coleman
2011,Mike Carey
2011,Scott Green
2011,Gene Steratore
2011,Walt Anderson
2011,Carl Cheffers
2011,Terry McAulay
2011,Jeff Triplette
2011,Ron Winter
2011,Alberto Riveron
2011,Peter Morelli
2011,Jerome Boger
2011,John Parry
2012,Jim Core
2012,Wayne Elliott
2012,Ken Roan
2012,Donovan Briggans
2012,Donald King
2012,Mike Shepherd
2012,Robert Dalton
2012,David Scott
2012,Robert Frazer
2012,Jerry Frump
2012,Bruce Hermansen
2012,David White
2012,Jerry Hughes
2012,Gerald Wright
