No.,Name,Primary Pos,College,Primary Crew (start of season),NFL Experience (including year),Year
122,Brad Allen,R,Pembroke State,,7,2020
20,Barry Anderson,U,North Carolina State,,14,2020
108,Gary Arthur,LJ,Wright State,,24,2020
72,Michael Banks,FJ,Illinois State,,19,2020
56,Allen Baynes,SJ,Auburn,,13,2020
59,Rusty Baynes,LJ,Auburn-Montgomery,,11,2020
27,Grantis Bell,BJ,West Virginia,,1,2020
91,Jerry Bergman,DJ,Robert Morris,,19,2020
33,Tra Blake,FJ,UCF,,1,2020
34,Clete Blakeman,R,Nebraska,,13,2020
57,Joe Blubaugh,FJ,Pittsburg State,,1,2020
23,Jerome Boger,R,Morehouse,,17,2020
40,Brian Bolinger,LJ,Indiana State,,4,2020
74,Derick Bowers,DJ,East Central,,18,2020
98,Greg Bradley,LJ,Tennessee,,12,2020
43,Terry Brown,FJ,Tennessee,,15,2020
11,Fred Bryan,U,Northern Iowa,,12,2020
86,Jimmy Buchanan,SJ,South Carolina State,,12,2020
134,Ed Camp,DJ,William Paterson,,21,2020
63,Mike Carr,DJ,Wisconsin,,4,2020
60,Gary Cavaletto,SJ,Hancock,,18,2020
41,Boris Cheek,SJ,Morgan State,,25,2020
51,Carl Cheffers,R,California-Irvine,,21,2020
130,Land Clark,R,Sevier Valley Tech,,3,2020
16,Kevin Codey,DJ,Western New England,,6,2020
95,James Coleman,SJ,Arkansas,,16,2020
65,Walt Coleman IV,LJ,Southern Methodist,,6,2020
99,Tony Corrente,R,Cal State-Fullerton,,26,2020
25,Ryan Dickson,FJ,Utah,,4,2020
123,Mike Dolce,LJ,Grand Valley State,,1,2020
87,Tom Eaton,LJ,Central Florida,,1,2020
76,Alan Eck,U,Bloomsburg,,5,2020
96,Matt Edwards,BJ,Western Michigan,,3,2020
3,Scott Edwards,SJ,Alabama,,22,2020
81,Roy Ellison,U,Savannah State,,18,2020
61,Keith Ferguson,BJ,San Jose State,,21,2020
64,Dan Ferrell,U,Cal State-Fullerton,,18,2020
90,Anthony Flemming,SJ,Texas A&M Commerce,,1,2020
71,Ruben Fowler,U,Huston-Tillotson,,15,2020
88,Brad Freeman,BJ,Mississippi State,,7,2020
85,Daniel Gallagher,LJ,Kent State,,1,2020
128,Ramon George,U,Lenoir-Rhyne,,5,2020
103,Eugene Hall,SJ,North Texas,,7,2020
49,Rich Hall,U,Arizona,,17,2020
107,Dave Hawkshaw,SJ,Justice Institute of B.C.,,2,2020
93,Scott Helverson,BJ,Iowa,,18,2020
29,Adrian Hill,R,Buffalo,,11,2020
125,Chad Hill,SJ,Mississippi,,3,2020
97,Tom Hill,FJ,Carson-Newman,,22,2020
28,Mark Hittner,DJ,Pittsburg State,,24,2020
83,Shawn Hochuli,R,Claremont,,7,2020
106,Patrick Holt,DJ,North Carolina State,,2,2020
35,John Hussey,R,Idaho State,,19,2020
36,Anthony Jeffries,FJ,Alabama-Birmingham,,3,2020
117,John Jenkins,FJ,St. Mary’s,,7,2020
101,Carl Johnson,LJ,Nicholls State,,17,2020
42,Nate Jones,FJ,Rutgers,,2,2020
67,Tony Josselyn,BJ,Eastern Kentucky,,3,2020
55,Alex Kemp,R,Central Michigan,,7,2020
77,Terry Killens,U,Penn State,,2,2020
121,Paul King,U,Nichols College,,12,2020
21,Jeff Lamberth,SJ,Texas A&M,,19,2020
44,Frank LeBlanc,DJ,Lamar Institute of Technology,,1,2020
2,Bart Longson,LJ,Brigham Young,,6,2020
10,Julian Mapp,LJ,Grambling State,,12,2020
19,Clay Martin,R,Oklahoma Baptist,,6,2020
39,Rich Martinez,BJ,Canisius,,7,2020
8,Dana McKenzie,DJ,Toledo,,13,2020
48,Jim Mello,DJ,Northeastern,,17,2020
118,Dave Meslow,FJ,Augsburg,,10,2020
78,Greg Meyer,BJ,TCU,,19,2020
115,Tony Michalek,U,Indiana,,19,2020
111,Terrence Miles,BJ,Arizona State,,13,2020
120,Jonah Monroe,SJ,Arkansas,,6,2020
92,Bryan Neale,U,Indiana,,7,2020
1,Scott Novak,R,Phoenix,,7,2020
24,David Oliver,DJ,Baker,,4,2020
124,Carl Paganelli,U,Michigan State,,22,2020
105,Dino Paganelli,BJ,Aquinas,,15,2020
46,Perry Paganelli,BJ,Hope,,23,2020
17,Steve Patrick,BJ,Jacksonville State,,7,2020
15,Rick Patterson,FJ,Wofford,,25,2020
79,Kent Payne,DJ,Nebraska Wesleyan,,17,2020
131,Mark Pellis,U,Allegheny,,7,2020
114,Dominique Pender,FJ/SJ,Howard ,,1,2020
9,Mark Perlman,LJ,Salem,,20,2020
6,Jerod Phillips,DJ,Northeastern State,,5,2020
47,Tim Podraza,LJ,Nebraska,,13,2020
109,Dyrol Prioleau,FJ,Johnson C. Smith,,14,2020
30,Todd Prukop,BJ,Cal State-Fullerton,,12,2020
5,Jim Quirk,SJ,Middlebury,,11,2020
18,Clay Reynard,SJ,UC Davis,,1,2020
31,Mearl Robinson,FJ,Air Force,,4,2020
126,Brad Rogers,R,Lubbock Christian,,4,2020
82,Jimmy Russell,SJ,Pasco Hernando State,,2,2020
50,Aaron Santi,FJ,Southern Oregon,,6,2020
45,Jeff Seeman,LJ,Minnesota,,19,2020
104,Dale Shaw,SJ,Allegheny,,8,2020
113,Danny Short,DJ,UNC-Charlotte,,4,2020
110,Tab Slaughter,U,Arkansas State,,1,2020
14,Shawn Smith,R,Ferris State,,6,2020
12,Greg Steed,BJ,Howard,,18,2020
84,Mark Steinkerchner,LJ,Akron,,27,2020
68,Tom Stephan,DJ,Pittsburg State,,22,2020
75,Mark Stewart,LJ,Pittsburg State,,3,2020
102,Bruce Stritesky,U,Embry-Riddle,,15,2020
37,Tripp Sutter,LJ,Nebraska,,2,2020
100,Tom Symonette,LJ,Florida,,17,2020
53,Sarah Thomas,DJ,Mobile,,6,2020
62,Ronald Torbert,R,Michigan State,,11,2020
13,Patrick Turner,DJ,Cal State-Long Beach,,7,2020
52,Bill Vinovich,R,San Diego,,15,2020
26,Jabir Walker,FJ,Murray State,,6,2020
7,Keith Washington,SJ,Virginia Military Institute,,13,2020
116,Mike Weatherford,FJ,Oklahoma State,,19,2020
58,Don Willard,SJ,Illinois State,,3,2020
119,Greg Wilson,BJ,USC,,13,2020
54,Steve Woods,U,Wabash,,4,2020
4,Craig Wrolstad,R,Washington,,18,2020
38,Greg Yette,BJ,Howard,,11,2020
22,Steve Zimmer,FJ,Hofstra,,24,2020
122,Brad Allen,R,Pembroke State,Allen,6,2019
20,Barry Anderson,U,North Carolina State,Allen,13,2019
66,Walt Anderson,R,Texas,Anderson,24,2019
108,Gary Arthur,LJ,Wright State,Martin,23,2019
72,Michael Banks,FJ,Illinois State,Cheffers,18,2019
56,Allen Baynes,FJ,Auburn,Hussey,12,2019
59,Rusty Baynes,LJ,Auburn-Montgomery,Boger,10,2019
32,Jeff Bergman,LJ,Robert Morris,Kemp,28,2019
91,Jerry Bergman,DJ,Robert Morris,Blakeman,18,2019
34,Clete Blakeman,R,Nebraska,Blakeman,12,2019
23,Jerome Boger,R,Morehouse College,Boger,16,2019
40,Brian Bolinger,LJ,Indiana State,Allen,3,2019
18,Byron Boston,LJ,Austin,Anderson,25,2019
74,Derick Bowers,DJ,East Central,Novak,17,2019
98,Greg Bradley,LJ,Tennessee,Hochuli,11,2019
43,Terry Brown,FJ,Tennessee,Wrolstad,14,2019
11,Fred Bryan,U,Northern Iowa,Martin,11,2019
86,Jimmy Buchanan,SJ,South Carolina State,Blakeman,11,2019
134,Ed Camp,DJ,William Paterson,Hochuli,20,2019
63,Mike Carr,DJ,Wisconsin,Kemp,3,2019
60,Gary Cavaletto,SJ,Hancock,Vinovich,17,2019
41,Boris Cheek,SJ,Morgan State,Corrente,24,2019
51,Carl Cheffers,R,California-Irvine,Cheffers,20,2019
130,Land Clark,FJ,Sevier Valley Tech,Hill,2,2019
16,Kevin Codey,DJ,Western New England,Hussey,5,2019
95,James Coleman,SJ,Arkansas,Hochuli,15,2019
65,Walt Coleman IV,LJ,Southern Methodist,Novak,5,2019
